PolicyRef,Agent Code,InceptionDate,ProductClass,syspolicytype,Claim,Claim Dates
10484QXNB,YQ84EP,11-Oct-22,Retail,OM,80703.441,02-Nov-22
10488JRXS,PX87ZF,01-Apr-21,Energy,OM,62789.9916,09-Oct-21
10508UUKZ,SW66SU,01-Feb-21,Property,OM,176951.7792,28-Apr-21
10524APGF,CW70RA,06-Feb-21,Non Marine,OM,92366.4014,29-Aug-21
10561WYED,QE81FR,14-Jun-22,Retail,OM,53468.3492,20-Aug-22
10574SSNM,TN69KE,01-Mar-21,Property,OM,108142.4316,13-Oct-21
10580AJHJ,XT84ZF,16-Jun-22,Non Marine,OM,29094.2596,25-Jul-22
10586TRNS,GN75RN,30-Jun-22,Property,OM,104119.316,08-Sep-22
10599ZQSZ,KX85XZ,01-Oct-22,Non Marine,OM,125426.917,21-Oct-22
10631TJBJ,XQ84PZ,01-Jan-22,Non Marine,OM,38079.762,01-Mar-22
10645HOKP,JB87WL,01-Sep-22,Const,OM,69966.0612,16-Oct-22
10649TWKE,MV70FE,10-Nov-21,Non Marine,OM,157158.7584,02-Jan-22
10653GYFI,IL74ZU,01-Oct-21,Non Marine,OM,117619.7568,11-Apr-22
10679ZSFC,RL87FF,28-Apr-21,Casualty,OM,152264.119,12-Sep-21
10683MYLI,CW70RA,01-Oct-21,Non Marine,OM,40621.0784,16-Mar-22
10685MFHK,LG90WL,25-Mar-22,Retail,OM,124635.2926,13-May-22
10731TINF,HO66DJ,01-Jul-21,Retail,OM,167471.073,25-Sep-21
10763QHYQ,MK72WN,01-Nov-22,Casualty,OM,121503.9672,24-Nov-22
10775XOPY,II90AR,26-Sep-22,Infra,OM,120969.0048,05-Nov-22
10784XPVO,IC82HU,01-Jun-21,Casualty,OM,118703.5192,22-Jul-21
10796CTKC,DU78SZ,19-May-21,Accident,OM,152991.8082,24-Jul-21
10822LITK,BK76AB,20-Jun-21,Accident,OM,38953.628,31-Jan-22
10822TYRA,FX65XK,01-Jan-21,Property,OM,160286.546,18-Jun-21
10831UHRL,QL78LP,14-Aug-21,Infra,OM,21991.1706,02-Apr-22
10831UKQH,II90AR,11-Apr-21,Infra,OM,112251.552,25-Nov-21
10858IAWW,WO89QX,28-Jul-22,Non Marine,OM,67031.069,23-Oct-22
10888NIHS,MT73HO,23-Mar-22,Non Marine,ELT,102258.5704,27-Apr-22
10905PKDD,ZM69PW,01-Nov-21,Non Marine,OM,154631.2502,19-May-22
10911PJLI,CO80VK,01-Jul-21,Property,OM,80660.1544,06-Oct-21
10915VIYA,BR81PP,30-Jun-22,Property,OM,150314.1248,08-Sep-22
10963FQLB,SI71VK,27-Aug-21,Property,OM,43772.1508,12-Nov-21
10971RVYA,SD72ZX,20-Feb-22,Infra,OM,22217.58,02-May-22
10988OHYJ,DR75QE,29-Jun-22,Infra,OM,152468.7332,06-Aug-22
10998FTUW,BF82KA,30-Jun-22,Retail,OM,84871.4496,20-Sep-22
11006OPOF,SW66SU,01-Aug-21,Retail,OM,108439.4304,01-Jan-22
11058TDAW,QZ75KD,01-Nov-21,Const,OM,43899.6586,21-Mar-22
11076FIAW,YB69TG,21-Apr-21,Property,OM,19071.143,11-Jul-21
11108TLBF,BQ86ZC,02-Jan-21,Non Marine,OM,64511.2832,16-Mar-21
11115TMHA,JB87WL,01-Jul-22,Const,OM,115245.8048,22-Aug-22
11127OSWU,NP83ER,23-Apr-21,Non Marine,OM,174591.7824,13-Oct-21
11129ZKBY,PW72IK,08-Apr-22,Retail,OM,41089.685,26-Jun-22
11171DFXO,PV82DZ,01-Apr-21,Non Marine,OM,20646.0618,23-Nov-21
11176YSEX,PX87ZF,01-Jan-22,Infra,OM,57774.5574,28-Feb-22
11215HSFO,DB76PZ,28-Feb-21,Retail,OM,192413.9448,29-Oct-21
11226OSWX,HK88ME,29-Sep-22,Casualty,OM,171457.125,14-Oct-22
11243IZBO,NO83QS,01-Jun-22,Accident,ELT,112305.501,27-Jul-22
11277CDGH,CO80VK,01-Jul-21,Property,OM,43004.409,11-Oct-21
11297JWAI,YQ65HQ,31-Jul-21,Non Marine,OM,49934.5672,06-Mar-22
11373UHAG,RL87FF,01-Jul-21,Non Marine,OM,130684.6856,31-Jan-22
11380JJCF,TK70BZ,01-May-21,Property,OM,26384.1088,08-Dec-21
11391CKMX,RW79IT,31-Aug-21,Const,OM,131017.6896,06-Jan-22
11412CZKZ,CI87OG,01-Sep-22,Infra,OM,134341.6438,14-Oct-22
11436HGYW,EX76GW,24-Mar-22,Aviation,OM,153189.0234,16-Jun-22
11488FLZE,HI81EO,01-May-21,Non Marine,BON,110026.3052,30-Dec-21
11528OBKX,LW85JV,29-Jan-22,Aviation,OM,133787.493,13-Mar-22
11542MRKW,GP73DN,01-Apr-22,Non Marine,OM,67636.2288,19-Jun-22
11557GJEL,YF81DT,01-Jan-22,Accident,OM,173292.4592,28-Feb-22
11570PTVU,NE81QX,28-Jul-21,Non Marine,OM,171320.2288,12-Nov-21
11582MOTS,GD65BN,01-Jun-21,Infra,OM,100579.1836,27-Nov-21
11591KXSG,MK73XE,14-Sep-22,Const,OM,59408.2272,16-Nov-22
11604CWOV,NG73DI,24-Jul-22,Aviation,OM,178584.5376,16-Sep-22
11646IWVB,GP73DN,01-Nov-21,Non Marine,OM,132091.7892,27-Mar-22
11666JROR,TZ83BF,02-May-21,Infra,OM,23565.1878,18-Sep-21
11683OJLQ,NM69GX,01-Mar-21,Retail,OM,120646.3104,28-Apr-21
11715MMEJ,SK90PX,13-Sep-21,Const,OM,39714.4608,15-Jan-22
11716LLCS,CD87DD,21-Mar-22,Property,OM,151432.7556,29-May-22
11726HNOO,TK70BZ,06-Nov-22,Property,OM,108710.616,21-Nov-22
11734CMLS,YE73EI,15-Jul-22,Const,OM,94834.796,03-Sep-22
11734LASF,DA87SD,01-Jan-21,Retail,OM,119626.4636,18-Aug-21
11736TDGH,CT87OW,01-Nov-22,Infra,OM,37116.9904,24-Nov-22
11804ASQI,BS74IW,01-Jan-21,Non Marine,OM,60943.9166,27-Jun-21
11836ZZQW,LK66CC,14-Oct-21,Non Marine,OM,44434.082,28-May-22
11851RDPM,YC78SG,02-Nov-21,Casualty,OM,180890.115,19-May-22
11857BCYL,KE69GH,01-Jan-22,Non Marine,ELT,10655.5204,06-Mar-22
11869DBQK,JS68CY,25-Feb-21,Property,OM,161166.6448,22-Aug-21
11878DTBV,KN69YY,01-Jun-22,Casualty,OM,132727.2408,31-Jul-22
11882FSZQ,NJ72BS,14-Jul-22,Non Marine,OM,95785.6704,13-Sep-22
11912NAPO,JE73SU,07-Feb-21,Casualty,OM,76249.0176,21-Sep-21
11913QLQR,QG76HF,05-May-21,Retail,OM,125032.369,20-Dec-21
11917BVQI,RE79KI,01-Jan-21,Property,OM,118244.1246,14-Jun-21
11924BQEA,SD74LV,15-May-21,Property,OM,45495.2652,09-Jul-21
11942YBAF,QK67RS,01-Jul-21,Non Marine,OM,61467.168,30-Sep-21
11947MGXQ,BQ86ZC,01-Nov-21,Non Marine,OM,124886.5744,24-May-22
11949MJBV,HV70AI,01-Jun-21,Property,OM,81892.622,20-Oct-21
11976YAFK,JP83VH,01-Mar-22,Aviation,OM,166354.804,25-May-22
11981USXI,LH80MF,01-Dec-21,Aviation,OM,38225.929,10-Jul-22
11998QXXP,RW72CJ,16-May-22,Aviation,OM,98084.6916,19-Jul-22
12002PXJQ,SR79LW,01-Oct-21,Non Marine,OM,66473.1648,22-Dec-21
12015IFUB,PE88NZ,01-Jan-21,Non Marine,OM,96446.3864,27-Feb-21
12057EHKQ,NA83ZU,01-Jul-22,Retail,OM,68285.4004,16-Aug-22
12102LEHO,IU75CF,03-Dec-21,Casualty,OM,115529.652,16-May-22
12154APNR,TV83KJ,01-Jan-22,Non Marine,PRT,93708.1488,01-Mar-22
12169GEET,UF87UT,28-Mar-22,Property,OM,175328.713,27-May-22
12191NHZF,WL85KO,29-Dec-21,Infra,OM,106754.0166,07-Aug-22
12199FKQU,TI87NG,01-Jan-22,Infra,OM,125070.8928,26-Mar-22
12220VDIL,NP83ER,04-Mar-22,Non Marine,OM,161468.4456,13-Apr-22
12231BWLI,OJ74PR,06-May-22,Energy,OM,157203.4464,01-Jul-22
12261RNPW,CE90KF,15-Sep-21,Infra,OM,134668.9344,18-Oct-21
12277ZCOU,GD71UD,01-Jul-21,Non Marine,OM,74544.288,27-Jan-22
12303BDIF,TL66VH,01-Jan-22,Infra,PRT,157792.5048,07-Feb-22
12335PAWB,KF81GV,01-Jan-22,Casualty,PRT,154914.7152,17-Mar-22
12375HWUV,AR74TD,01-Jan-21,Const,OM,20386.156,18-Apr-21
12396FYMT,MK72WN,01-Nov-22,Casualty,OM,43601.523,18-Nov-22
12424LSDC,QA68JH,01-Sep-22,Non Marine,OM,81353.5632,31-Oct-22
12445RBCP,RP71GW,01-Oct-21,Infra,ELT,14514.9564,17-May-22
12472KMVS,LO72IX,01-Jan-22,Infra,OM,53784.262,03-Mar-22
12495ILSE,TL84WA,02-Jul-22,Non Marine,OM,139271.5142,19-Sep-22
12546EWBP,HZ69XY,01-Jan-22,Non Marine,OM,67932.3456,24-Mar-22
12558QSSP,XT84ZF,17-Jul-22,Non Marine,OM,173775.4326,07-Oct-22
12586KTBX,PV82DZ,21-Oct-21,Non Marine,OM,13785.5424,06-May-22
12596FXEE,OV81VM,21-Jun-21,Infra,OM,153252.8214,02-Dec-21
12606KKIS,XZ76IR,28-Mar-22,Non Marine,OM,114170.4312,04-Jun-22
12628HGQE,BR81FG,30-Mar-21,Property,OM,17389.0024,12-Jun-21
12653CLUP,FE78NW,01-Apr-21,Infra,ELT,169479.24,15-Nov-21
12691HMYL,CT87OW,31-Aug-22,Infra,OM,84019.957,14-Oct-22
12694XWGH,WW72GH,10-Nov-21,Property,OM,42035.2968,28-Feb-22
12728HLPG,XG68VI,29-May-22,Aviation,OM,90651.47,18-Aug-22
12765BQVG,YM79YD,01-Apr-22,Non Marine,OM,158728.5126,03-May-22
12776KKIZ,BR81FG,21-Jan-22,Property,OM,138973.7216,18-Mar-22
12785OPEW,IU75CF,01-Jul-22,Casualty,OM,126867.2328,27-Sep-22
12797GDKJ,LS82ZY,01-Jul-21,Non Marine,OM,55486.0124,12-Oct-21
12822WFZQ,LE79SQ,23-Sep-21,Property,OM,189249.2504,26-Mar-22
12835LBKU,GU77WE,18-Aug-21,Retail,OM,157287.6578,21-Dec-21
12852ZVTQ,FT72DR,01-Jul-21,Const,OM,98082.8394,24-Sep-21
12859ROEX,BL66PR,01-Jan-21,Const,OM,133289.9568,13-Apr-21
12905TEOH,EK84IW,01-Jun-22,Non Marine,OM,92107.554,01-Aug-22
12944CDNX,IC66FN,30-Jun-22,Const,OM,30599.814,26-Sep-22
12995JQLW,SA75HH,01-Oct-21,Infra,OM,89782.9156,07-Jan-22
12996AYAV,TT74JE,01-Jan-21,Accident,ELT,127617.952,02-Feb-21
12999DKMI,SI71VK,01-Aug-21,Property,OM,93379.4862,21-Mar-22
13021SYCV,FM81SI,01-Jan-21,Energy,OM,77281.2516,13-May-21
13038BJKL,BR82JM,01-Oct-22,Infra,OM,19370.8956,15-Nov-22
13048VSPM,MR65PG,21-Nov-21,Property,OM,86699.6592,18-Jun-22
13060BYIE,YO79ZT,01-Jan-21,Infra,OM,36099.5152,23-Apr-21
13084NFGT,EP82LK,02-Aug-21,Infra,OM,27219.647,11-Mar-22
13154YMWV,CD87DD,01-Dec-21,Property,OM,127095.6414,05-Aug-22
13216VTCW,PW72IK,30-Jun-22,Retail,OM,39518.9312,28-Sep-22
13218QLPR,NS68ZX,09-Jul-22,Non Marine,OM,64992.7278,08-Sep-22
13236PTNW,ZC69BV,24-Oct-21,Non Marine,OM,182300.58,21-May-22
13245WEVJ,YC90GN,01-Apr-22,Property,OM,123332.5688,05-Jun-22
13262LNBG,NS81XN,01-Nov-21,Const,OM,37012.1598,30-Dec-21
13294JPQL,LO88RE,01-Jan-22,Non Marine,OM,57137.7142,02-Feb-22
13314DGFR,ID90ML,23-May-21,Non Marine,OM,88598.1054,23-Nov-21
13314DIBN,XH90XJ,23-Jun-21,Infra,OM,133659.113,26-Nov-21
13332RBZH,PV82DZ,01-Apr-21,Non Marine,OM,152999.8834,27-Aug-21
13337FBVQ,RP72WX,15-Nov-21,Energy,OM,173914.9944,06-Feb-22
13342NRIF,CB88HJ,01-Dec-22,Non Marine,OM,125648.3382,08-Dec-22
13358MPOV,YJ65WD,26-Jan-22,Aviation,OM,170359.5936,04-Apr-22
13381QBFK,CE80NT,01-Apr-21,Property,OM,139953.408,05-Aug-21
13398PERE,MQ86UD,01-Nov-21,Non Marine,BON,126187.9164,05-Jul-22
13426AWXF,VZ73BS,01-Jun-22,Marine,OM,52215.5074,08-Jul-22
13459TITH,RL87FF,01-Jan-22,Casualty,OM,126218.6492,25-Mar-22
13497NEES,XQ65CT,01-Jan-22,Non Marine,BON,166722.0688,28-Mar-22
13503GWOO,UF87UT,09-Aug-21,Property,OM,166862.1696,12-Dec-21
13524TLSQ,MT73HO,01-Jan-22,Accident,ELT,159220.7568,21-Mar-22
13592EHTS,GY89KG,01-Jan-21,Non Marine,BON,10333.904,12-Jul-21
13592VVHF,OQ76CG,01-Feb-21,Infra,OM,89890.5588,09-May-21
13641LYWR,SA75HH,01-Jun-21,Property,OM,115726.4262,15-Oct-21
13663XKMC,BW68ER,31-Jan-21,Non Marine,OM,123503.8728,20-Jun-21
13705VMHJ,DO88WH,01-Apr-22,Const,OM,163438.912,13-May-22
13726LQBM,QP77RP,01-Jan-22,Non Marine,ELT,173003.075,19-Mar-22
13745PZDN,BF82KA,05-Jul-22,Retail,OM,88881.9624,17-Sep-22
13766QAHU,KI82AV,01-Jan-21,Retail,OM,158428.8972,02-Feb-21
13779VJNM,YE82AE,01-Apr-21,Non Marine,OM,81230.9652,07-Jul-21
13780UDWY,SS68JG,28-Oct-21,Non Marine,OM,174115.9238,16-Jun-22
13788KLOM,PJ82UD,01-Jan-21,Non Marine,ELT,11728.7478,24-Jul-21
13788PGFP,UF87UT,23-Mar-21,Property,OM,65388.6184,31-May-21
13802ZFCC,ZT87OG,01-Oct-21,Aero,ELT,92688.204,01-Nov-21
13808SKJI,IF78BA,01-Feb-22,Non Marine,OM,75568.339,26-Apr-22
13821TIDH,BR83VF,01-Sep-22,Const,OM,97941.0628,21-Oct-22
13830KTKL,XM87JQ,01-Mar-22,Property,OM,149766.5792,27-May-22
13896PZBZ,ZE84HL,01-Mar-21,Property,CVR,79430.96,12-Aug-21
13936TPBB,ZL83CM,01-Jan-21,Infra,OM,116724.8208,02-Sep-21
13937KFND,BC74WH,01-Jan-21,Casualty,PRT,169292.354,06-May-21
13943PQKF,MK72WN,01-Jul-22,Casualty,OM,102504.6876,02-Sep-22
13955OOER,DF89CA,03-Aug-21,Infra,OM,37942.3856,01-Feb-22
13972JPKW,ZX83ZQ,01-Jan-21,Aviation,OM,170391.6984,11-Jul-21
13977WILX,YC78SG,24-Feb-22,Casualty,OM,133665.532,08-Apr-22
14020ZDCE,LI65PI,01-Jun-22,Property,OM,97528.7082,19-Jul-22
14023EILU,LU75KP,25-Sep-22,Non Marine,OM,109075.4112,23-Oct-22
14047AZIM,AS85RZ,01-Mar-22,Non Marine,OM,115203.4884,24-Apr-22
14069JRBD,CW70RA,01-Aug-22,Non Marine,OM,32377.6908,30-Oct-22
14170GIDM,HV79RQ,01-Mar-21,Non Marine,OM,69236.2944,16-Sep-21
14186PGVT,BR83VF,01-Mar-22,Const,OM,84331.842,22-May-22
14190NKGD,YH67VG,01-Jul-21,Const,OM,149059.617,15-Aug-21
14194RPBB,ZE69JG,01-Feb-22,Property,OM,51963.4024,03-Apr-22
14217VHSU,ZN77RG,01-Jan-22,Non Marine,BON,141037.5624,09-Mar-22
14218GQTA,ZT87OG,01-Nov-21,Aero,ELT,79907.9064,06-Jul-22
14233QJHV,AY74KP,27-Nov-21,Retail,OM,68186.6262,22-Apr-22
14239CXEX,IO70GF,01-Jul-22,Non Marine,OM,108763.3008,21-Aug-22
14273LYLL,KA86HN,01-Jul-21,Casualty,OM,88646.88,22-Aug-21
14292FIPS,XR87HN,03-Feb-21,Aviation,OM,101509.478,22-Apr-21
14306TJME,FT72DR,22-Feb-21,Const,OM,95345.376,28-Mar-21
14365IAHH,IL74ZU,01-Feb-21,Non Marine,OM,82071.0016,26-Jul-21
14434ZNNG,TJ72CM,01-Apr-22,Const,OM,72757.0228,17-Jun-22
14449PYES,RP87RU,01-Aug-21,Infra,OM,184606.5984,30-Oct-21
14539DWDC,TV74JC,31-Dec-21,Property,OM,89895.8214,28-Jun-22
14540DHEJ,HR87XZ,01-Jul-22,Casualty,ELT,53527.845,18-Sep-22
14548TAQB,AL83NF,28-Jun-22,Property,OM,18993.5564,17-Sep-22
14559EUJL,YR79TK,01-Jan-21,Non Marine,OM,115920.623,06-Jul-21
14564IVUO,DU68OL,01-Nov-22,Retail,OM,128468.7096,11-Nov-22
14586MOMC,RQ80ME,01-Mar-21,Aviation,OM,149505.615,23-Aug-21
14586PCDD,UX75GG,16-Mar-22,Non Marine,OM,46281.7446,02-Jun-22
14619GJIO,TK70BZ,14-May-22,Property,OM,134490.1824,29-Jun-22
14668NMDN,PF78XN,31-Dec-21,Property,OM,82449.3404,24-Jun-22
14693GBHY,LH80MF,01-Dec-22,Aviation,OM,78122.2092,07-Dec-22
14704ECXM,SZ86PZ,01-Apr-22,Non Marine,OM,175814.5284,29-Jun-22
14707DEAJ,GI84MR,01-Apr-22,Non Marine,OM,60105.5364,10-Jun-22
14737OCEP,GD65BN,01-Jan-21,Infra,OM,62624.8714,12-Feb-21
14782GEZQ,CT87OW,01-Jul-22,Infra,OM,35936.6784,04-Sep-22
14785OLMX,LO79EL,20-Feb-21,Infra,OM,89258.4,18-Apr-21
14821GEUQ,HO66DJ,01-Apr-22,Non Marine,OM,173743.8276,06-Jun-22
14836GZCE,MF67JB,01-Jul-22,Aviation,OM,31310.9608,05-Sep-22
14840KKJU,AD87EB,13-May-21,Non Marine,OM,93431.2106,23-Aug-21
14881BEHT,CE71QH,15-Jun-21,Infra,OM,137472.3616,07-Nov-21
14907CVUU,PV87BM,01-Jul-21,Accident,PRT,29119.5828,15-Jan-22
14913JNCV,SC80BB,03-Feb-22,Energy,OM,170187.5448,21-Mar-22
14924EQDB,EX71BP,10-Jun-21,Aviation,OM,42687.6436,14-Sep-21
14924TDGR,RW79IT,01-Jan-22,Const,OM,169114.288,13-Mar-22
14930LXHF,LJ68VR,01-Jul-22,Non Marine,OM,185189.2378,10-Sep-22
14937WXQT,TM67DP,31-Dec-21,Non Marine,OM,123384.5088,03-Jun-22
14938XUCW,IJ75DZ,19-Aug-22,Non Marine,OM,46008.0894,29-Oct-22
14961RLYD,HA70WD,16-Jun-21,Property,OM,149182.803,04-Jan-22
14964XQIE,XR66SP,25-Jan-22,Infra,OM,112055.8656,23-Mar-22
14975FFFL,DK67GY,14-Jul-22,Non Marine,OM,11684.05,29-Aug-22
14981RPIR,IF68HA,31-Mar-21,Property,OM,173190.9312,29-Jul-21
15017SFOS,DZ67HO,01-Sep-22,Property,OM,113939.3472,13-Oct-22
15022JAPN,CD82RJ,26-Jul-21,Property,OM,70421.967,21-Mar-22
15065EMEG,NE81QX,11-Apr-22,Non Marine,OM,113976.94,17-Jun-22
15109QWWO,CT89QS,01-Jan-22,Non Marine,OM,19020.1536,22-Feb-22
15134FEFZ,TZ85QF,01-Jan-22,Aero,PRT,45066.0252,03-Feb-22
15209NMCT,VZ73BS,20-Feb-21,Marine,OM,185685.451,30-Sep-21
15212ICDM,WR74GV,20-Jun-22,Aviation,OM,97809.9486,15-Sep-22
15232EBMR,AF77ZT,02-May-22,Const,OM,18955.5324,14-Jun-22
15246LGXT,QF66QU,01-Apr-22,Const,OM,106028.797,08-Jun-22
15263AUES,NC72HD,01-May-22,Aviation,OM,23992.1934,17-Jun-22
15297OYDB,PW86CH,16-Sep-22,Infra,OM,89312.7312,23-Oct-22
15303XSIQ,DE76BP,13-Mar-22,Property,OM,126386.0136,15-Apr-22
15349RGXY,PE72XC,01-Mar-21,Const,OM,106375.6876,19-Oct-21
15399PXYA,YL70TR,22-Jul-21,Non Marine,OM,100110.087,21-Mar-22
15453YTSD,BH85TZ,01-Jan-22,Non Marine,PRT,25333,25-Mar-22
15454OXUS,FL88ZR,01-Mar-22,Property,OM,39623.2228,27-Apr-22
15476OMAC,BR81PP,01-Jul-22,Property,OM,118751.5392,23-Sep-22
15481VIZC,LG90WL,31-Dec-21,Infra,OM,42770.2968,05-Aug-22
15495EJAK,IW83WA,01-Jun-22,Non Marine,ELT,146142.8332,08-Aug-22
15500EJVY,VY82JU,01-Jul-22,Infra,OM,92923.502,22-Aug-22
15532RKHZ,BR81PP,30-Nov-21,Property,OM,96619.3956,11-Jul-22
15540DSUF,BI71AH,10-Mar-22,Property,OM,49087.0044,15-May-22
15561YFNQ,AD82HY,01-Mar-22,Non Marine,BON,133907.4744,08-Apr-22
15565WVDC,XZ76IR,30-Jun-22,Non Marine,OM,183496.8366,22-Aug-22
15596ZBJC,VJ74JM,01-Jul-22,Non Marine,OM,152595.065,22-Sep-22
15611LDGE,XY67XZ,01-Jun-22,Non Marine,OM,130854.7058,15-Jul-22
15611MZER,KI88NZ,22-May-22,Property,OM,134436.6744,23-Jun-22
15632KCLP,YG86OA,01-Jul-21,Agri,OM,149571.2064,08-Jan-22
15643SJOT,IF68HA,22-Apr-21,Property,OM,65543.8014,14-Dec-21
15677BYAH,CP68RN,23-Jan-21,Property,OM,49877.982,18-Jun-21
15684MZYB,QP77RP,01-Jan-21,Non Marine,ELT,64671.0036,10-Feb-21
15696EYSD,CE90KF,01-Jan-22,Infra,OM,47429.4912,25-Feb-22
15721EMKD,NA90YR,01-Mar-21,Non Marine,OM,184612.645,25-Oct-21
15728YXBW,RW79IT,01-Jun-22,Const,OM,27177.8304,13-Aug-22
15753GSYG,IK77AM,01-May-21,Retail,OM,81974.8244,20-Jun-21
15787MWJA,CH84ZZ,15-May-21,Non Marine,OM,116574.1752,27-Jun-21
15787YPBD,MU89OH,06-Oct-21,Casualty,OM,39672.3404,19-Jan-22
15809MULU,PE88NZ,01-Jul-22,Non Marine,OM,152167.6968,03-Sep-22
15830SWSU,TR67TG,18-Jan-21,Non Marine,OM,87450.692,28-May-21
15842RRME,XQ84PZ,30-Jun-21,Non Marine,OM,160182.4406,12-Jan-22
15853AXIQ,XQ65CT,01-Jan-21,Non Marine,ELT,68105.443,26-Jun-21
15862WSLI,HH67AR,28-Sep-22,Infra,OM,24294.7782,18-Oct-22
15889SPYP,AX78QY,01-Jan-21,Non Marine,ELT,83410.054,16-Mar-21
15893DDMY,MT84OW,01-Jul-21,Casualty,OM,117191.3792,22-Nov-21
15909MVTT,OC74RP,01-Jan-21,Aviation,OM,121352.3024,06-Jul-21
15928PYUG,EQ69KF,01-Jan-22,Infra,OM,56260.7808,01-Feb-22
15930XTOH,RS66XZ,15-Oct-21,Property,OM,150692.9144,07-Dec-21
15969DLNP,OE87ND,22-Apr-22,Non Marine,OM,73013.675,15-Jun-22
16001ZHCT,NI70DC,01-Dec-21,Non Marine,OM,139335.7434,04-Jul-22
16007SHUL,YO70VK,01-Nov-21,Non Marine,OM,127804.7498,07-Apr-22
16018QRQH,VW75QG,01-Apr-21,Non Marine,OM,57093.3594,08-Sep-21
16021GCJX,ZE90BH,01-Jan-22,Const,CVR,173649.9632,23-Feb-22
16078RAHS,JZ69IL,01-Oct-21,Property,OM,106059.2064,03-Feb-22
16096PMQI,RL68AH,06-May-21,Casualty,OM,61889.9008,01-Nov-21
16121LFNP,PW72IK,24-Jun-21,Retail,OM,172000.9368,10-Feb-22
16125YTTP,RP87RU,31-Mar-22,Property,OM,131592.195,12-Jun-22
16162RNCJ,UV66WD,01-Mar-21,Aviation,OM,55219.9032,07-Sep-21
16171JVRA,PW72IK,13-May-22,Retail,OM,160238.624,14-Jul-22
16176FXHL,ZE69JG,04-Oct-21,Property,OM,11244.3632,26-Jan-22
16179YSSR,LU87SE,01-Jul-22,Non Marine,OM,78132.1464,10-Aug-22
16227JIVU,LH80MF,01-Dec-21,Aviation,OM,172677.225,21-Jun-22
16238WSQP,FL88ZR,01-Jul-21,Property,OM,29824.9182,05-Sep-21
16271QKRP,DA87SD,31-Jan-21,Retail,OM,100102.198,02-Sep-21
16274ABRN,PX68DP,01-Nov-21,Property,OM,155372.679,19-Apr-22
16283DOTD,GD65BN,01-Jun-22,Infra,OM,82342.5694,06-Jul-22
16297MZFM,BR81FG,06-Sep-21,Property,OM,116761.7472,29-Oct-21
16304SJXA,TO73NI,01-Mar-22,Casualty,OM,170596.1068,25-May-22
16306YMLE,AM69QM,01-Mar-21,Property,OM,150389.7318,18-May-21
16386PBGP,VG73BC,01-Jan-21,Infra,OM,160008.7552,04-Jul-21
16402ICBG,VK89NE,08-Mar-21,Const,OM,120835.519,14-Jun-21
16424KIHZ,LU75KP,20-Nov-21,Non Marine,OM,188534.3992,18-Apr-22
16432NIDO,PV82DZ,01-Apr-21,Non Marine,OM,36732.85,20-Nov-21
16433SSIJ,KE75NA,27-Apr-21,Const,OM,156251.3274,14-Sep-21
16451DHMY,XY67XZ,01-Jan-22,Non Marine,OM,70072.0776,24-Mar-22
16493WDDG,KC90JD,31-Oct-22,Non Marine,OM,105824.6924,06-Nov-22
16497WOVQ,QC67CS,29-Jan-22,Retail,OM,140825.6864,08-Apr-22
16498IKZF,SK79XX,01-Nov-21,Const,OM,58302.3168,12-Mar-22
16523RUEU,EF74XC,26-Apr-22,Infra,OM,125794.8384,22-Jun-22
